INSTRUMENT_TYPE_ID,TICKER_ID,TICKER_CODE,COUNTRY_NAME,COUNTRY_CODE,COUNTRY_CODE_2,PLUS500
1,132,BA-C.BA,Argentina,1,AR,0
1,133,AM20D.BA,Argentina,1,AR,0
1,134,AM17X.BA,Argentina,1,AR,0
1,135,AMX8.BA,Argentina,1,AR,0
1,136,AM18.BA,Argentina,1,AR,0
1,137,AMX9X.BA,Argentina,1,AR,0
1,138,DYCA.BA,Argentina,1,AR,0
1,139,AN18X.BA,Argentina,1,AR,0
1,140,AN18.BA,Argentina,1,AR,0
1,141,AN18D.BA,Argentina,1,AR,0
1,142,AO16D.BA,Argentina,1,AR,0
1,143,AO20D.BA,Argentina,1,AR,0
1,144,AO20C.BA,Argentina,1,AR,0
1,145,AO20X.BA,Argentina,1,AR,0
1,146,AO17X.BA,Argentina,1,AR,0
1,147,AO16X.BA,Argentina,1,AR,0
1,148,APSA.BA,Argentina,1,AR,0
1,149,PETR.BA,Argentina,1,AR,0
1,150,INTC.BA,Argentina,1,AR,0
1,151,IBM.BA,Argentina,1,AR,0
1,152,CARC.BA,Argentina,1,AR,0
1,153,CAPU.BA,Argentina,1,AR,0
1,154,C.BA,Argentina,1,AR,0
1,155,BPAT.BA,Argentina,1,AR,0
1,156,TRVV.BA,Argentina,1,AR,0
1,157,PEP.BA,Argentina,1,AR,0
1,158,POLL.BA,Argentina,1,AR,0
1,159,PG.BA,Argentina,1,AR,0
1,160,PESA.BA,Argentina,1,AR,0
1,161,PAMP.BA,Argentina,1,AR,0
1,162,MORI.BA,Argentina,1,AR,0
1,163,MMM.BA,Argentina,1,AR,0
1,164,MIRG.BA,Argentina,1,AR,0
1,165,HSBC.BA,Argentina,1,AR,0
1,166,GG.BA,Argentina,1,AR,0
1,167,GFI.BA,Argentina,1,AR,0
1,168,FIPL.BA,Argentina,1,AR,0
1,169,DGCU2.BA,Argentina,1,AR,0
1,170,CVX.BA,Argentina,1,AR,0
1,171,COLO.BA,Argentina,1,AR,0
1,172,BNG.BA,Argentina,1,AR,0
1,173,BMA.BA,Argentina,1,AR,0
1,174,BBRY.BA,Argentina,1,AR,0
1,175,CEPU.BA,Argentina,1,AR,0
1,176,CAT.BA,Argentina,1,AR,0
1,177,FMX.BA,Argentina,1,AR,0
1,178,TSM.BA,Argentina,1,AR,0
1,179,CX.BA,Argentina,1,AR,0
1,180,TSCH9.BA,Argentina,1,AR,0
1,181,BDC18.BA,Argentina,1,AR,0
1,182,AY16.BA,Argentina,1,AR,0
1,183,MRK.BA,Argentina,1,AR,0
1,184,FCX.BA,Argentina,1,AR,0
1,185,TI.BA,Argentina,1,AR,0
1,186,GRIM.BA,Argentina,1,AR,0
1,187,MVIA.BA,Argentina,1,AR,0
1,188,NDG21.BA,Argentina,1,AR,0
1,189,DD.BA,Argentina,1,AR,0
1,190,BUN16.BA,Argentina,1,AR,0
1,191,AVP.BA,Argentina,1,AR,0
1,192,EBAY.BA,Argentina,1,AR,0
1,193,PHG.BA,Argentina,1,AR,0
