,ticker,exchange
600,TA,Nasdaq
601,SEE,NYSE
602,ES,NYSE
603,CCEP,NYSE
604,ASH,NYSE
605,IPG,NYSE
606,BX,NYSE
607,DGX,NYSE
608,NEM,NYSE
609,ORLY,Nasdaq
610,CASY,Nasdaq
611,CMS,NYSE
612,FL,NYSE
613,CMC,NYSE
614,A,NYSE
615,HII,NYSE
616,LYV,NYSE
617,DKS,NYSE
618,OSK,NYSE
619,CE,NYSE
620,SPR,NYSE
621,UNFI,NYSE
622,OI,NYSE
623,DDS,NYSE
624,LKQ,Nasdaq
625,NLOK,Nasdaq
626,R,NYSE
627,ROK,NYSE
628,DAN,NYSE
629,NCR,NYSE
630,EXPD,Nasdaq
631,FITB,Nasdaq
632,NI,NYSE
633,EME,NYSE
634,FIS,NYSE
635,KBR,NYSE
636,AVY,NYSE
637,NTAP,Nasdaq
638,DISCA,Nasdaq
639,SANM,Nasdaq
640,JBHT,Nasdaq
641,SCHW,NYSE
642,AEE,NYSE
643,MAT,Nasdaq
644,LH,NYSE
645,SPB,NYSE
646,ABG,NYSE
647,PKG,NYSE
648,PHM,NYSE
649,JBLU,Nasdaq
650,NWL,Nasdaq
651,CLMT,Nasdaq
652,EXPE,Nasdaq
653,AFG,NYSE
654,URI,NYSE
655,INGR,NYSE
656,NAVI,Nasdaq
657,SJM,NYSE
658,CLX,NYSE
659,ORI,NYSE
660,AMD,Nasdaq
661,BAH,NYSE
662,IQV,NYSE
663,WYNN,Nasdaq
664,JLL,NYSE
665,RF,NYSE
666,LAD,NYSE
667,CRM,NYSE
668,ALK,NYSE
669,HST,Nasdaq
670,APH,NYSE
671,RLGY,NYSE
672,HBI,NYSE
673,PXD,NYSE
674,TNL,NYSE
675,OC,NYSE
676,Y,NYSE
677,SPGI,NYSE
678,BIG,NYSE
679,MKL,NYSE
680,LDOS,NYSE
681,THG,NYSE
682,FISV,Nasdaq
683,ABM,NYSE
684,SON,NYSE
685,LHX,NYSE
686,TDS,NYSE
687,WEC,NYSE
688,RJF,NYSE
689,BERY,NYSE
690,CINF,Nasdaq
691,ATO,NYSE
692,FLS,NYSE
693,SPG,NYSE
694,BURL,NYSE
695,TPR,NYSE
696,CLR,NYSE
697,Z,Nasdaq
698,CF,NYSE
699,MTB,NYSE
700,WSM,NYSE
701,RHI,NYSE
702,FAF,NYSE
703,MDU,NYSE
704,JNPR,NYSE
705,AJG,NYSE
706,CFX,NYSE
707,MTZ,NYSE
708,LRCX,Nasdaq
709,CTAS,Nasdaq
710,COTY,NYSE
711,ANDE,Nasdaq
712,NTRS,Nasdaq
713,INTU,Nasdaq
714,TPC,NYSE
715,PII,NYSE
716,RACE,NYSE
717,NVR,NYSE
718,FWONA,Nasdaq
719,ENR,NYSE
720,BLMN,Nasdaq
721,WLK,NYSE
722,H,NYSE
723,FBHS,NYSE
724,RPM,NYSE
725,KEY,NYSE
726,KNX,NYSE
727,HAS,Nasdaq
728,RFP,NYSE
729,MKC,NYSE
730,GPK,NYSE
731,GEF,NYSE
732,ATI,NYSE
733,TAP,NYSE
734,CNO,NYSE
735,CMG,NYSE
736,AMT,NYSE
737,BC,NYSE
738,PDCO,Nasdaq
739,SWN,NYSE
740,AME,NYSE
741,TROW,Nasdaq
742,GL,NYSE
743,DAR,NYSE
744,LEG,NYSE
745,WSO,NYSE
746,XYL,NYSE
747,SLGN,Nasdaq
748,TOL,NYSE
749,MTW,NYSE
750,ARGO,NYSE
751,MAR,Nasdaq
752,SQ,NYSE
753,MTCH,Nasdaq
754,SEDG,Nasdaq
755,NTDOY,Nasdaq
756,REGN,NASDAQ
757,SGMO,NASDAQ
758,NTLA,NASDAQ
759,EDIT,NASDAQ
760,MS,NYSE
761,CLLS,NASDAQ
762,RMS,Euronext Paris
763,SNAP,NYSE
764,AAL,LSE
765,ABF,LSE
766,ADM,LSE
767,AHT,LSE
768,ANTO,LSE
769,AV,LSE
770,AZN,LSE
771,BAB,LSE
772,BARC,LSE
773,BATS,LSE
774,BLND,LSE
775,BHP,LSE
776,BNZL,LSE
777,BP,LSE
778,BRBY,LSE
779,BT,LSE
780,CCH,LSE
781,CCL,LSE
782,CNA,LSE
783,CPG,LSE
784,CPI,LSE
785,DGE,LSE
786,EXPN,LSE
787,EZJ,LSE
788,FRES,LSE
789,GLEN,LSE
790,GSK,LSE
791,HL,LSE
792,HMSO,LSE
793,HSBA,LSE
794,IAG,LSE
795,IMI,LSE
796,IMB,LSE
797,ITRK,LSE
798,ITV,LSE
799,JMAT,LSE
800,KGF,LSE
801,LAND,LSE
802,LGEN,LSE
803,LLOY,LSE
804,LSEG,LSE
805,MGGT,LSE
806,MKS,LSE
807,MNDI,LSE
808,MRO,LSE
809,MRW,LSE
810,NG,LSE
811,NXT,LSE
812,PFC,LSE
813,PRU,LSE
814,PSN,LSE
815,PSON,LSE
816,RKT,LSE
817,NWG,LSE
818,REL,LSE
819,RIO,LSE
820,RMG,LSE
821,RR,LSE
822,SBRY,LSE
823,SDR,LSE
824,ABDN.L,LSE
825,SMIN,LSE
826,SN,LSE
827,FRAS,LSE
828,SSE,LSE
829,STAN,LSE
830,SVT,LSE
831,TATE,LSE
832,TLW,LSE
833,TPK,LSE
834,TSCO,LSE
835,ULVR,LSE
836,UU,LSE
837,WEIR,LSE
838,FERG,LSE
839,WPP,LSE
840,WTB,LSE
841,DMGT,LSE
842,III,LSE
843,BDEV.L,LSE
844,CRDA.L,LSE
845,DCC.L,LSE
846,DLG.L,LSE
847,INF.L,LSE
848,MCRO.L,LSE
849,FLTR,LSE
850,RTO.L,LSE
851,SGRO.L,LSE
852,SKG.L,LSE
853,SMT.L,LSE
854,TUI.L,LSE
855,TW.L,LSE
856,QLT.L,LSE
857,MDC.L,LSE
858,AML.L,LSE
859,FEVR.L,LSE
860,ASC.L,LSE
861,RDSB.L,LSE
862,AVST.L,LSE
863,SMSN.L,LSE
864,TRN,LSE
865,AKSO,OSE
866,BWLPG,OSE
867,DNB,OSE
868,DNO,OSE
869,GJF,OSE
870,GOGL.OL,OSE
871,MOWI,OSE
872,NHY,OSE
873,NAS,OSE
874,ORK,OSE
875,PGS,OSE
876,PRS,OSE
877,STB,OSE
878,SUBC,OSE
879,TEL,OSE
880,TGS,OSE
881,YAR,OSE
882,ERIC-A,STO
883,TELIA,STO
884,NDA_SE,STO
885,VOLV-A,STO
886,SEB-A,STO
887,SAND,STO
888,HM-B,STO
889,SHB-A,STO
890,SKF-A,STO
891,SWED-A,STO
892,ASSA-B,STO
893,ATCO-A,STO
894,BOL,STO
895,ALFA,STO
896,SECU-B,STO
897,SKA-B,STO
898,INVE-A,STO
899,LUNE.ST,STO
900,TREL-B,STO
901,SWMA,STO
902,HEXA-B,STO
903,ICA,STO
904,INDU-A,STO
905,LUND-B,STO
906,SANT.DE,FRA
907,NOVO-B,CSE
908,DANSKE,CSE
909,ORSTED,CSE
910,VWS,CSE
911,NZYM-B,CSE
912,PNDORA,CSE
913,TRYG,CSE
914,DSV,CSE
915,DEMANT,CSE
916,ISS,CSE
917,LUN,CSE
918,GMAB,CSE
919,COLO-B,CSE
920,CHR,CSE
921,SSABAH,HEL
922,FORTUM,HEL
923,UPM,HEL
924,NESTE,HEL
925,KNEBV,HEL
926,SAMPO,HEL
927,ELISA,HEL
928,TYRES,HEL
929,WRT1V,HEL
930,0939.HK,Hong Kong Exchanges
931,3988.HK,Hong Kong Exchanges
932,1398.HK,Hong Kong Exchanges
933,1288.HK,Hong Kong Exchanges
934,0386.HK,Hong Kong Exchanges
935,0883.HK,Hong Kong Exchanges
936,2007.HK,Hong Kong Exchanges
937,0998.HK,Hong Kong Exchanges
938,1988.HK,Hong Kong Exchanges
939,1339.HK,Hong Kong Exchanges
940,3323.HK,Hong Kong Exchanges
941,1359.HK,Hong Kong Exchanges
942,0992.HK,Hong Kong Exchanges
943,1088.HK,Hong Kong Exchanges
944,1171.HK,Hong Kong Exchanges
945,1800.HK,Hong Kong Exchanges
946,2318.HK,Hong Kong Exchanges
947,3800.HK,Hong Kong Exchanges
948,0902.HK,Hong Kong Exchanges
949,2328.HK,Hong Kong Exchanges
950,0762.HK,Hong Kong Exchanges
951,0728.HK,Hong Kong Exchanges
952,1816.HK,Hong Kong Exchanges
953,2899.HK,Hong Kong Exchanges
954,2628.HK,Hong Kong Exchanges
955,1898.HK,Hong Kong Exchanges
956,3328.HK,Hong Kong Exchanges
957,0753.HK,Hong Kong Exchanges
958,0968.HK,Hong Kong Exchanges
959,0688.HK,Hong Kong Exchanges
960,2333.HK,Hong Kong Exchanges
961,2883.HK,Hong Kong Exchanges
962,0916.HK,Hong Kong Exchanges
963,1299.HK,Hong Kong Exchanges
964,0390.HK,Hong Kong Exchanges
965,2338.HK,Hong Kong Exchanges
966,2601.HK,Hong Kong Exchanges
967,3968.HK,Hong Kong Exchanges
968,0700.HK,Hong Kong Exchanges
969,2238.HK,Hong Kong Exchanges
970,1966.HK,Hong Kong Exchanges
971,0941.HK,Hong Kong Exchanges
972,0489.HK,Hong Kong Exchanges
973,6030.HK,Hong Kong Exchanges
974,1628.HK,Hong Kong Exchanges
975,0914.HK,Hong Kong Exchanges
976,0656.HK,Hong Kong Exchanges
977,1618.HK,Hong Kong Exchanges
978,1109.HK,Hong Kong Exchanges
979,1186.HK,Hong Kong Exchanges
980,00001.HK,Hong Kong Exchanges
981,00002.HK,Hong Kong Exchanges
982,00006.HK,Hong Kong Exchanges
983,00011.HK,Hong Kong Exchanges
984,00016.HK,Hong Kong Exchanges
985,00017.HK,Hong Kong Exchanges
986,00019.HK,Hong Kong Exchanges
987,00027.HK,Hong Kong Exchanges
988,00135.HK,Hong Kong Exchanges
989,00175.HK,Hong Kong Exchanges
990,00241.HK,Hong Kong Exchanges
991,00257.HK,Hong Kong Exchanges
992,00268.HK,Hong Kong Exchanges
993,00285.HK,Hong Kong Exchanges
994,00322.HK,Hong Kong Exchanges
995,00384.HK,Hong Kong Exchanges
996,00388.HK,Hong Kong Exchanges
997,00763.HK,Hong Kong Exchanges
998,00788.HK,Hong Kong Exchanges
999,00857.HK,Hong Kong Exchanges
1000,00880.HK,Hong Kong Exchanges
1001,00966.HK,Hong Kong Exchanges
1002,00981.HK,Hong Kong Exchanges
1003,01055.HK,Hong Kong Exchanges
1004,01093.HK,Hong Kong Exchanges
1005,01113.HK,Hong Kong Exchanges
1006,01114.HK,Hong Kong Exchanges
1007,01128.HK,Hong Kong Exchanges
1008,01177.HK,Hong Kong Exchanges
1009,01211.HK,Hong Kong Exchanges
1010,01336.HK,Hong Kong Exchanges
1011,01928.HK,Hong Kong Exchanges
1012,02018.HK,Hong Kong Exchanges
1013,02020.HK,Hong Kong Exchanges
1014,02196.HK,Hong Kong Exchanges
1015,02269.HK,Hong Kong Exchanges
1016,02313.HK,Hong Kong Exchanges
1017,02319.HK,Hong Kong Exchanges
1018,02382.HK,Hong Kong Exchanges
1019,02386.HK,Hong Kong Exchanges
1020,02388.HK,Hong Kong Exchanges
1021,02688.HK,Hong Kong Exchanges
1022,03333.HK,Hong Kong Exchanges
1023,03690.HK,Hong Kong Exchanges
1024,03908.HK,Hong Kong Exchanges
1025,03993.HK,Hong Kong Exchanges
1026,06060.HK,Hong Kong Exchanges
1027,06837.HK,Hong Kong Exchanges
1028,06862.HK,Hong Kong Exchanges
1029,06881.HK,Hong Kong Exchanges
1030,06886.HK,Hong Kong Exchanges
1031,9988.HK,Hong Kong Exchanges
1032,1958.HK,Hong Kong Exchanges
1033,1585.HK,Hong Kong Exchanges
1034,3.HK,Hong Kong Exchanges
1035,12.HK,Hong Kong Exchanges
1036,83.HK,Hong Kong Exchanges
1037,101.HK,Hong Kong Exchanges
1038,151.HK,Hong Kong Exchanges
1039,1801.HK,Hong Kong Exchanges
1040,341.HK,Hong Kong Exchanges
1041,669.HK,Hong Kong Exchanges
1042,823.HK,Hong Kong Exchanges
1043,1038.HK,Hong Kong Exchanges
1044,1044.HK,Hong Kong Exchanges
1045,1317.HK,Hong Kong Exchanges
1046,1530.HK,Hong Kong Exchanges
1047,1797.HK,Hong Kong Exchanges
1048,1873.HK,Hong Kong Exchanges
1049,1997.HK,Hong Kong Exchanges
1050,2013.HK,Hong Kong Exchanges
1051,6185.HK,Hong Kong Exchanges
1052,778.HK,Hong Kong Exchanges
1053,9618.HK,Hong Kong Exchanges
1054,9926.HK,Hong Kong Exchanges
1055,200.HK,Hong Kong Exchanges
1056,HDD,FRA
1057,AIXA,FRA
1058,O2D,FRA
1059,CEC,FRA
1060,EVT,FRA
1061,KGX,FRA
1062,SHA,FRA
1063,UN01,FRA
1064,NDX1,FRA
1065,SGL,FRA
1066,EVK,FRA
1067,DWNI,FRA
1068,LXS,FRA
1069,QGEN,FRA
1070,1COV,FRA
1071,G1A,FRA
1072,WDI,FRA
1073,ZAL,FRA
1074,SZU,FRA
1075,GYC,FRA
1076,TEG,FRA
1077,GXI,FRA
1078,FNTN,FRA
1079,GBF,FRA
1080,AOX,FRA
1081,SZG,FRA
1082,BNR,FRA
1083,ARL,FRA
1084,PAT,FRA
1085,UTDI,FRA
1086,LEO,FRA
1087,WAF,FRA
1088,SY1,FRA
1089,RRTL.DE,FRA
1090,SOW,FRA
1091,DEQ,FRA
1092,HLE,FRA
